Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hendrickson, Gerald M.",HIUS 186 - Topics in U.S. Economic Histry (A),WI14,10,3,100.0 %,100.0 %,7.83,A (4.00),A- (3.79)
"Campos, Amie",HILA 124 - History of Chile 1880-Present (A),S217,20,9,100.0 %,100.0 %,4.5,A (4.00),A- (3.80)
"Pickowicz, Paul G.",HIEA 133 - 20th C China/Cultural History (A),SP15,36,13,100.0 %,100.0 %,6.17,B+ (3.69),A- (3.81)
"Washington, Patricia",HILD 7A - Race & Ethnicity/United States (A),FA08,344,214,58.7 %,46.0 %,4.52,B+ (3.62),A- (3.83)
"Widener, Daniel",HILA 122 - ColonyToSocialistRepublic:Cuba (A),FA14,54,24,87.0 %,91.3 %,4.23,A- (3.85),A- (3.84)
"Pickowicz, Paul G.",HIEA 133 - 20th C China/Cultural History (A),SP17,37,19,83.3 %,94.4 %,8.39,A- (3.89),A- (3.86)
"Biess, Frank Peter",HIEU 154GS - Mod German/Bismarck to Hitler (A),S111,26,15,100.0 %,93.3 %,8.37,A- (3.85),A- (3.86)
"Gallant, Thomas W.",HIEU 117GS - Tradtl Greek Society:Ethnogrph (A),S116,26,8,100.0 %,100.0 %,5.17,A- (3.83),A- (3.88)
"Fuste, Jose Ignacio",HIUS 129 - Race/Ethnicity-American Cities (A),WI14,19,14,100.0 %,100.0 %,5.64,A- (3.73),A- (3.88)
"Biess, Frank Peter",HIEU 154GS - Mod German/Bismarck to Hitler (A),S113,26,10,100.0 %,100.0 %,6.3,B+ (3.63),A- (3.89)
"Artenstein, Isaac",HITO 107 - Holocaust Video Production (A),SP12,20,4,100.0 %,66.7 %,6.5,A (4.00),A- (3.90)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),FA17,68,15,91.7 %,100.0 %,4.86,B+ (3.33),B (3.00)
"Stout, James E",HIEU 109 - Nationalism in Europe (A),S117,24,12,90.9 %,100.0 %,6.83,B (3.00),B (3.00)
"Caciola, Nancy A",HIEU 110 - The Rise Of Europe (A),WI12,27,15,93.3 %,93.3 %,5.03,B+ (3.64),B (3.00)
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),WI10,23,3,100.0 %,33.3 %,2.5,N/A,B (3.00)
"Goodblatt, David",HINE 108 - The Middle East Before Islam (A),WI16,32,19,89.5 %,89.5 %,4.18,B+ (3.53),B (3.01)
"Van Young, Eric",HILD 14 - Film & History in Latin Amer (A),SP15,62,14,83.3 %,83.3 %,2.5,B (3.17),B (3.01)
"Cahill, Suzanne",HIEA 136 - Thought/Reli China: Daoism (A),WI14,21,10,66.7 %,77.8 %,3.5,B (3.00),B (3.01)
"Gutierrez, David G",HILD 7C - Race & Ethnicity/United States (A),SP12,321,132,62.6 %,73.3 %,5.34,B (3.30),B (3.01)
"Wilson, Rai I.",HIUS 128 - African-American Legal History (A),WI11,43,22,86.4 %,95.5 %,4.68,B+ (3.43),B (3.01)
"Goodblatt, David",HITO 104 - Jews & Judaism/Ancient&Medievl (A),FA09,55,32,81.5 %,75.0 %,3.02,B (3.24),B (3.01)
"Jung, Ji Hee",HILD 12 - Twentieth-Century East Asia (A),SP09,204,122,70.9 %,41.2 %,3.89,B+ (3.35),B (3.01)
"Sasaki, Tomoyuki",HILD 12 - Twentieth-Century East Asia (A),SP09,204,122,70.9 %,41.2 %,3.89,B+ (3.35),B (3.01)
"Ringrose, Kathryn M",HIEU 104 - Byzantine Empire (A),WI08,38,20,80.0 %,90.0 %,3,A- (3.89),B (3.01)
"Lu, Weijing","HILD 11 - East Asia & the West,1279-1911 (A)",WI08,173,89,83.7 %,58.1 %,3.66,B+ (3.62),B (3.01)
"Strathman, Theodore A",HIUS 148 - American Cities/20th Century (A),WI08,165,99,84.5 %,92.8 %,3.79,B (3.28),B (3.01)
"Sine, Elizabeth E",HIUS 126 - History of Race in the U.S. (A),SP16,47,33,97.0 %,100.0 %,5.35,B+ (3.39),B (3.02)
"Herbst, Matthew",HITO 124 - Mystical Traditions (A),SP15,26,15,92.9 %,100.0 %,4.79,B+ (3.45),B (3.02)
"Propp, William Henry",HITO 124 - Mystical Traditions (A),SP15,26,14,92.9 %,85.7 %,4.79,B+ (3.45),B (3.02)
"Henry, Todd A.",HILD 12 - Twentieth-Century East Asia (A),SP14,102,77,84.4 %,93.5 %,4.66,B (3.04),B (3.02)
"Prestholdt, Jeremy",HIAF 113 - SmallWars GloblOrdr/Afrca&Asia (A),WI14,28,21,100.0 %,100.0 %,2.79,B+ (3.37),B (3.02)
"Meade, Everard",HILA 131 - History of Mexico:1821-1924 (A),FA12,74,30,82.8 %,93.1 %,5.07,B (3.24),B (3.02)
"Pickowicz, Paul G.",HIEA 131 - China/War & Revolution 1911-49 (A),S111,31,12,100.0 %,100.0 %,8.17,B+ (3.64),B (3.02)
"Monteon, Michael P.",HILA 132 - History of Contemporary Mexico (A),SP11,68,19,84.2 %,57.9 %,4.92,B+ (3.44),B (3.02)
"Murray, Jeremy Andrew",HIEA 131 - China/War & Revolution 1911-49 (A),FA10,80,37,100.0 %,91.9 %,7.31,B+ (3.50),B (3.02)
"Tanaka, Stefan A.",HITO 126 - A History of Childhood (A),WI10,32,13,61.5 %,61.5 %,3.58,B- (2.83),B (3.02)
"Shah, Nayan B",HILD 7B - Race & Ethnicity/United States (A),WI09,325,158,73.2 %,80.9 %,3.78,B (3.29),B (3.02)
"Esherick, Joseph W",HIEA 131 - China/War & Revolution 1911-49 (A),FA08,106,52,92.0 %,96.2 %,5.19,B+ (3.45),B (3.02)
"Klein, Rachel",HILD 2B - United States History (A),WI08,168,108,91.4 %,96.2 %,3.46,B+ (3.42),B (3.02)
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),SP16,43,13,84.6 %,92.3 %,2.67,B+ (3.30),B (3.03)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),S212,22,3,100.0 %,100.0 %,2.5,A (4.00),B (3.03)
"Cahill, Suzanne",HILD 10 - East Asia: The Great Tradition (A),FA11,202,87,62.1 %,76.7 %,5.52,B+ (3.36),B (3.03)
"Alvarez, Luis A",HILD 7C - Race & Ethnicity/United States (A),SP11,370,149,78.9 %,91.8 %,4.17,B (3.25),B (3.03)
"Caciola, Nancy A",HIEU 110 - The Rise Of Europe (A),FA08,78,55,90.7 %,90.7 %,4.57,B+ (3.38),B (3.03)
"Widener, Daniel",HILD 7A - Race & Ethnicity/United States (A),FA07,338,248,76.8 %,83.7 %,5.37,B+ (3.31),B (3.03)
"Gutierrez, David G",HIUS 113 - History of Mexican America (A),FA15,103,37,73.5 %,70.6 %,4.85,B (3.17),B (3.04)
"Propp, William Henry",HINE 104 - Sex in the Bible (A),SP15,25,18,72.2 %,55.6 %,5.61,B (3.13),B (3.04)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),FA14,52,23,77.3 %,86.4 %,5.86,B (3.13),B (3.04)
"Parrish, Michael E.",HIUS 110 - America & World/Revolution-WWI (A),WI13,30,11,100.0 %,100.0 %,5.23,B+ (3.45),B (3.04)
"Hendrickson, Gerald M.",HIUS 140 - Economic Hist/United States I (A),WI13,45,14,92.9 %,92.9 %,3.5,B (3.25),B (3.04)
"Klein, Rachel",HILD 2B - United States History (A),WI11,174,88,84.1 %,92.0 %,5.3,B+ (3.41),B (3.04)
"Caciola, Nancy A",HIEU 115 - The Pursuit of the Millenium (A),WI10,58,29,92.9 %,96.6 %,4.09,B+ (3.33),B (3.04)
"Propp, William Henry",HINE 113 - Ancient Near Eastern Mythology (A),SP09,21,19,84.2 %,94.7 %,4.08,B+ (3.31),B (3.04)
"Widener, Daniel",HIUS 134 - African American Cultural Hist (A),SP08,62,54,82.7 %,88.5 %,4.01,B (3.18),B (3.04)
"Henry, Todd A.","HIEA 150 - Modern Korea, 1800-1945 (A)",WI15,51,36,100.0 %,97.1 %,4.96,B (3.23),B (3.05)
"Zroka, Ryan Edward",HITO 133 - War & Society/Second World War (A),FA12,51,39,92.1 %,94.7 %,5.69,B+ (3.43),B (3.05)
"Van Young, Eric",HILD 14 - Film & History in Latin Amer (A),SP11,89,40,81.6 %,89.5 %,3.32,B+ (3.41),B (3.05)
"Jordan, Ryan P",HILD 2A - United States History (A),FA08,136,78,87.0 %,77.9 %,4.65,B+ (3.43),B (3.05)
"Westman, Robert S",HISC 110 - Hist. Encounters/Sci.&Religion (A),SP16,27,16,62.5 %,68.8 %,4.5,B (3.18),B (3.06)
"Murillo, Dana V.",HILA 100 - Conquest/Empire: The Americas (A),FA15,48,18,88.2 %,100.0 %,4.1,B (3.27),B (3.06)
"Monteon, Michael P.",HILA 102 - Latin America/Twentieth Centry (A),SP15,37,14,84.6 %,84.6 %,4.14,B (3.00),B (3.06)
"Kayali, Hasan",HINE 118 - Middle East/Twentieth Century (A),SP12,123,48,89.4 %,85.1 %,5.67,B (3.29),B (3.06)
"Widener, Daniel",HILD 7A - Race & Ethnicity/United States (A),FA11,365,192,69.8 %,81.2 %,6.62,B (3.14),B (3.06)
"Gallant, Thomas W.",HIEU 116B - Greece & the Balkans/1914-2001 (A),FA08,53,38,91.9 %,89.2 %,3.71,B+ (3.41),B (3.06)
"Gallant, Thomas W.",HIEU 116C - Greece & the Balkans/1914-2001 (A),FA08,53,38,91.9 %,89.2 %,3.71,B+ (3.41),B (3.06)
"Gallant, Thomas W.",HIEU 116CD - Greece & the Balkans/1914-2001 (A),FA08,53,38,91.9 %,89.2 %,3.71,B+ (3.41),B (3.06)
"Gallant, Thomas W.",HIEU 117B - Greece & the Balkans/1914-2001 (A),FA08,53,38,91.9 %,89.2 %,3.71,B+ (3.41),B (3.06)
"Montoya Rojas, Ciro Rodrigo",HILA 112 - Econ & Soc Hist/Andean Region (A),FA08,26,18,66.7 %,83.3 %,2.94,B (3.24),B (3.06)
"Westman, Robert S",HISC 106 - The Scientific Revolution (A),FA08,35,21,85.7 %,85.7 %,3.26,B (3.15),B (3.06)
"Westman, Robert S",HISC 106 - The Scientific Revolution (A),WI08,34,20,85.0 %,75.0 %,3.76,B+ (3.50),B (3.06)
"Alvarez, Luis A",HIUS 159 - Social&Econ Hist/Southwest II (A),WI08,107,71,91.5 %,94.4 %,4.05,B (3.27),B (3.06)
"Lu, Weijing",HIEA 138 - Women & the Chinese Revolution (A),SP17,38,14,92.9 %,92.9 %,4.64,B+ (3.44),B (3.07)
"Gutierrez, David G",HIUS 113 - History of Mexican America (A),FA16,106,41,87.5 %,85.0 %,4.4,B (3.12),B (3.07)
"Vitz, Matthew",HILA 131 - Mexico/Conquest to Mod (A),FA15,57,29,92.0 %,96.0 %,4.66,B+ (3.41),B (3.07)
"Strasser, Ulrike",HIEU 144 - Topics in European History (A),FA14,33,12,90.9 %,90.9 %,2.9,B+ (3.67),B (3.07)
"Kwak, Nancy",HILD 7B - Race & Ethnicity/United States (A),WI12,298,145,87.5 %,95.1 %,4.75,B+ (3.39),B (3.07)
"Klein, Rachel",HIUS 130 - Cultural Hist/1607-Civil War (A),FA10,97,42,90.5 %,88.1 %,6.02,B (3.22),B (3.07)
"Gere, Catherina M.",HISC 108 - Science in the 20th Century (A),WI09,62,36,88.6 %,100.0 %,3.7,B+ (3.44),B (3.07)
"Schneewind, Sarah",HILD 10 - East Asia: The Great Tradition (A),FA15,171,115,78.1 %,85.1 %,6.77,B+ (3.32),B (3.08)
"Hanna, Mark G.",HILD 2A - United States History (A),S215,28,11,100.0 %,100.0 %,5.9,B+ (3.33),B (3.08)
"Graham, Jessica Lynn",HILD 7A - Race & Ethnicity/United States (A),FA14,429,156,77.2 %,93.1 %,5.11,B+ (3.38),B (3.08)
"Hillman, Susanne","HIEU 129 - Paris, Past and Present (A)",S114,24,18,100.0 %,100.0 %,5.56,B+ (3.53),B (3.08)
"Lu, Weijing",HIEA 137 - Women & Family/Chinese History (A),WI14,28,10,90.0 %,90.0 %,5.3,B (3.25),B (3.08)
"Frolich, Margrit Luise",HIEU 154 - Mod German/Bismarck to Hitler (A),FA13,46,17,81.3 %,81.3 %,4.75,B+ (3.42),B (3.08)
"Avitia, Mayra Alejandra",HILD 7C - Race & Ethnicity/United States (A),S113,56,17,66.7 %,66.7 %,3.43,B+ (3.56),B (3.08)
"Depies, Gregory J",HIEA 115 - Social&Cultural/20th C Japan (A),SP13,60,40,90.0 %,92.5 %,5.78,B (3.25),B (3.08)
"Alvarez, Luis A","HIUS 146 - Race, Riots & Violence in U.S. (A)",WI13,106,42,90.5 %,97.6 %,4.6,B+ (3.50),B (3.08)
"Parrish, Michael E.",HILD 2C - United States History (A),SP11,171,78,84.2 %,89.5 %,5,B (3.24),B (3.08)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),FA10,25,11,90.9 %,81.8 %,5.05,B+ (3.44),B (3.08)
"Wilson, Rai I.",HIUS 128 - African-American Legal History (A),SP09,43,25,92.0 %,88.0 %,2.82,B+ (3.43),B (3.08)
"Klein, Rachel",HIUS 130 - Cultural Hist/1607-Civil War (A),FA08,112,84,96.4 %,97.6 %,4.57,B+ (3.47),B (3.08)
"Gallant, Thomas W.",HIEU 116A - Greece & the Balkans/1683-1914 (A),SP08,70,45,97.7 %,100.0 %,3.39,A- (3.71),B (3.08)
"Gallant, Thomas W.",HIEU 116B - Greece & the Balkans/1683-1914 (A),SP08,70,45,97.7 %,100.0 %,3.39,A- (3.71),B (3.08)
"Gallant, Thomas W.",HIEU 117A - Greece & the Balkans/1683-1914 (A),SP08,70,45,97.7 %,100.0 %,3.39,A- (3.71),B (3.08)
"Caciola, Nancy A",HIEU 147A - Women in the Middle Ages (A),FA07,55,47,91.5 %,95.7 %,4.2,B (3.18),B (3.08)
"Kayali, Hasan",HINE 114 - History/Islamic Middle East (A),FA16,67,22,78.9 %,68.4 %,4.5,B (3.21),B (3.09)
"Klein, Rachel",HIUS 130 - Cultural Hist/1607-1865 (A),SP15,65,21,90.0 %,90.0 %,4.3,B+ (3.40),B (3.09)
"Alvarez, Luis A",HILD 2C - United States History (B),SP13,115,29,72.4 %,82.8 %,4.86,B+ (3.43),B (3.09)
"Lu, Weijing","HILD 11 - East Asia & the West,1279-1911 (A)",WI13,127,55,79.6 %,70.4 %,3.85,B+ (3.38),B (3.09)
"Hendrickson, Gerald M.",HILD 2C - United States History (A),SP12,120,49,83.3 %,93.8 %,4.3,B+ (3.50),B (3.09)
"Pickowicz, Paul G.",HIEA 132 - Hist/People's Republic/China (A),WI12,79,37,91.4 %,88.6 %,8.56,B+ (3.41),B (3.09)
"Esherick, Joseph W","HILD 11 - East Asia & the West,1279-1911 (A)",WI12,138,48,75.0 %,79.2 %,6.08,B (3.25),B (3.09)
"Molina, Natalia Margarita",HIUS 117 - History of Los Angeles (A),S211,24,7,85.7 %,85.7 %,6.21,B+ (3.33),B (3.09)
"Hendrickson, Gerald M.",HIUS 145 - From New Era to New Deal (A),SP11,62,29,86.2 %,92.9 %,4.78,B+ (3.52),B (3.09)
"Widener, Daniel",HIUS 139 - African Amrcn Hist/the 20th C. (A),FA10,68,37,81.1 %,56.8 %,4.82,B+ (3.31),B (3.09)
"Shragge, Abraham Joseph",HIUS 116 - War and American Society (A),FA09,98,59,98.3 %,100.0 %,4.87,B+ (3.33),B (3.09)
"Herbst, Matthew",HIEU 104 - Byzantine Empire (A),WI09,82,46,93.3 %,100.0 %,5.41,B+ (3.39),B (3.09)
"Radcliff, Pamela B.","HIEU 146 - Fascism,Communism 1919-1945 (A)",SP08,132,84,96.3 %,97.6 %,3.6,B+ (3.43),B (3.09)
"Watts, Edward J.",HIEU 103 - Decline and Fall/Roman Empire (A),FA15,62,15,92.3 %,100.0 %,5.12,B+ (3.45),B (3.10)
"Gutierrez, David G",HIUS 113 - History of Mexican America (A),WI15,66,21,78.9 %,78.9 %,4.17,B+ (3.67),B (3.10)
"Keller-Lapp, Heidi M.",HIEU 131 - French Revolution 1789-1814 (A),SP14,55,42,88.1 %,88.1 %,5.82,B+ (3.50),B (3.10)
"Monteon, Michael P.",HILA 102 - Latin America/Twentieth Centry (A),SP11,59,27,56.0 %,60.0 %,5.12,B (3.00),B (3.10)
"Hanna, Mark G.",HILD 2A - United States History (A),FA10,178,96,70.8 %,77.9 %,5.38,B (3.18),B (3.10)
"Gutierrez, David G",HILD 7C - Race & Ethnicity/United States (A),SP10,296,132,67.7 %,76.2 %,4.78,B+ (3.47),B (3.10)
"Patterson, Patrick H.",HITO 134 - Internatnl Law/War Crimes&Geno (A),WI10,113,47,93.6 %,97.8 %,7.65,B+ (3.53),B (3.10)
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",SP09,39,27,92.3 %,84.6 %,4.65,B+ (3.40),B (3.10)
"Monteon, Michael P.",HILA 114 - Dictatorship in Latin America (A),WI09,56,19,78.9 %,77.8 %,5.45,B+ (3.47),B (3.10)
"Radcliff, Pamela B.",HIEU 151 - Spain Since 1808 (A),WI08,70,47,89.1 %,95.7 %,3.72,B+ (3.58),B (3.10)
"Gutierrez, David G",HIUS 136 - Citizenship & Civil Rts/20th c (A),WI16,57,17,86.7 %,80.0 %,5.07,B+ (3.50),B (3.11)
"Radcliff, Pamela B.",HIEU 149 - Women in Europe: 1870-Present (A),SP15,84,41,82.9 %,85.4 %,4.92,B (3.21),B (3.11)
"Cahill, Suzanne",HIEA 135 - Thought&Reli China: Buddhism (A),SP14,24,6,83.3 %,66.7 %,3.5,B (3.20),B (3.11)
"Sage, Michael",HIEU 101 - Greece in the Classical Age (A),WI13,72,24,83.3 %,79.2 %,3.83,B+ (3.33),B (3.11)
"Shah, Nayan B",HILD 7B - Race & Ethnicity/United States (A),WI11,211,107,72.9 %,78.3 %,4.61,B (3.27),B (3.11)
"Meade, Everard",HILA 132 - History of Contemporary Mexico (A),SP10,63,27,100.0 %,100.0 %,6.5,B (3.12),B (3.11)
"Klein, Rachel",HILD 2B - United States History (A),WI10,171,70,85.7 %,90.0 %,4.3,B+ (3.45),B (3.11)
"Goodblatt, David",HINE 108 - The Middle East Before Islam (A),WI09,69,46,91.1 %,93.3 %,3.07,B+ (3.61),B (3.11)
"Gere, Catherina M.",HISC 116 - History of Bioethics (A),FA08,42,26,100.0 %,100.0 %,4.5,A- (3.74),B (3.11)
"Alvarez, Luis A",HILD 7C - Race & Ethnicity/United States (A),S116,50,14,92.9 %,100.0 %,5.07,B+ (3.44),B (3.12)
"Murillo, Dana V.",HIUS 114 - California History (A),WI15,48,15,86.7 %,86.7 %,4.9,B+ (3.64),B (3.12)
"Hillman, Susanne",HIEU 144 - Topics in European History (A),S214,23,14,92.9 %,100.0 %,6.5,B (3.23),B (3.12)
"Shrader, James H",HILA 120 - History of Argentina (A),SP14,21,6,100.0 %,100.0 %,5.17,B+ (3.33),B (3.12)
"Gutierrez, David G",HIUS 136 - Citizenship & Civil Rts/20th c (A),SP13,27,3,100.0 %,100.0 %,7.17,A (4.00),B (3.12)
"Alvarez, Luis A",HIUS 155 - Zoot Suit-HipHop:Race-Pop Cult (A),WI13,65,20,85.0 %,95.0 %,3.55,B+ (3.33),B (3.12)
"Sage, Michael",HIEU 101 - Greece in the Classical Age (A),SP12,85,38,86.8 %,81.6 %,3.96,B+ (3.41),B (3.12)
"Miano, David Ringo",HIEU 112S - Ancient Explorers (A),S211,48,19,78.9 %,94.4 %,3.66,B+ (3.50),B (3.12)
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",SP11,43,18,100.0 %,77.8 %,3.61,A- (3.86),B (3.12)
"Westman, Robert S",HISC 106 - The Scientific Revolution (A),WI10,45,19,68.4 %,89.5 %,5.45,B (3.14),B (3.12)
"Harkewicz, Laura J.",HISC 116 - History of Bioethics (A),WI10,73,34,100.0 %,60.6 %,3.13,A- (3.79),B (3.12)
"Hendrickson, Gerald M.",HIUS 140 - Economic Hist/United States I (A),WI10,136,48,83.0 %,93.8 %,4.42,B (3.25),B (3.12)
"Alvarez, Luis A",HILD 2C - United States History (A),SP08,151,101,85.6 %,87.8 %,3.81,B+ (3.47),B (3.12)
"Murillo, Dana V.",HILA 100 - Conquest/Empire: The Americas (A),FA17,62,22,100.0 %,100.0 %,7.36,B+ (3.33),B (3.13)
"Matsumura, Wendy Y",HILD 12 - Twentieth-Century East Asia (A),SP17,173,75,70.4 %,69.0 %,5.12,B+ (3.43),B (3.13)
"Hunefeldt, Christine",HILA 123 - The Incas and Their Ancestors (A),FA16,38,13,75.0 %,66.7 %,6.68,B- (2.78),B (3.13)
"Henry, Todd A.",HILD 12 - Twentieth-Century East Asia (A),SP16,116,50,85.7 %,79.6 %,5.7,B+ (3.48),B (3.13)
"Henry, Todd A.","HIEA 150 - Modern Korea, 1800-1945 (A)",WI16,45,20,89.5 %,89.5 %,4.5,B (3.12),B (3.13)
"Gerth, Karl G.","HILD 11 - East Asia & the West,1279-1911 (A)",WI16,158,66,73.4 %,59.4 %,4.56,B+ (3.43),B (3.13)
"Schneewind, Sarah",HIEA 122 - Late Imperl Chin Cult&Society (A),FA14,22,13,69.2 %,76.9 %,10.65,B+ (3.33),B (3.13)
"Schneewind, Sarah","HILD 11 - East Asia & the West,1279-1911 (A)",WI14,77,61,86.9 %,83.6 %,6.47,B+ (3.36),B (3.13)
"Hendrickson, Gerald M.",HIUS 141 - Economic Hist/United States II (A),SP13,55,17,88.2 %,94.1 %,4.5,B+ (3.33),B (3.13)
"Widener, Daniel",HIUS 122 - History & Hollywood (A),S112,27,7,85.7 %,100.0 %,6.5,B (3.29),B (3.13)
"Schneewind, Sarah",HIEA 122 - Late Imperl Chin Cult&Society (A),FA11,35,24,91.7 %,87.5 %,7.75,B+ (3.47),B (3.13)
"Shapiro, Michael",HIEA 112 - Japan:Mid-19th C.-US Occupatn (A),FA10,105,44,81.8 %,59.1 %,5.77,B+ (3.50),B (3.13)
"Alvarez, Luis A","HIUS 146 - Race, Riots & Violence in U.S. (A)",FA10,143,61,93.4 %,95.1 %,6.07,B+ (3.39),B (3.13)
"Kwak, Nancy",HILD 7B - Race & Ethnicity/United States (A),WI10,268,105,88.5 %,95.2 %,3.67,B+ (3.51),B (3.13)
"Kayali, Hasan",HINE 114 - History/Islamic Middle East (A),FA09,138,85,90.6 %,90.6 %,4.26,B+ (3.53),B (3.13)
"Schneewind, Sarah",HIEA 122 - Late Imperl Chin Cult&Society (A),SP09,29,24,91.7 %,87.5 %,4.92,B+ (3.30),B (3.13)
"Hanna, Mark G.",HIUS 133 - The Golden Age of Piracy (A),SP08,103,59,96.6 %,98.3 %,3.58,B+ (3.66),B (3.13)
"Kayali, Hasan",HINE 114 - History/Islamic Middle East (A),FA07,116,75,94.6 %,95.9 %,4.28,B+ (3.51),B (3.13)
"Gerth, Karl G.",HIEA 132 - Hist/People's Republic/China (A),SP17,35,32,100.0 %,93.8 %,4.82,B (3.19),B (3.14)
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),S214,24,8,85.7 %,57.1 %,4.83,B+ (3.50),B (3.14)
"Hughes, Judith M.",HIEU 136B - Society/Soc Thought 1870-1989 (A),WI14,11,3,100.0 %,100.0 %,7.17,A (4.00),B (3.14)
"Zroka, Ryan Edward",HIEU 144 - Topics in European History (A),FA13,50,33,100.0 %,100.0 %,4.69,B+ (3.52),B (3.14)
"Hillman, Susanne",HIEU 158 - Why Hitler? How Auschwitz? (A),SP13,137,41,86.8 %,86.8 %,4.61,B+ (3.48),B (3.14)
"Gere, Catherina M.",HISC 108 - Life Sciences in 20th Century (A),WI12,64,27,84.6 %,96.2 %,4.88,B+ (3.54),B (3.14)
"Van Young, Eric",HILA 113 - Lord&Peasant in Latin America (A),SP11,45,19,94.7 %,94.7 %,5.97,B+ (3.63),B (3.14)
"Ringrose, Kathryn M",HIEU 133 - Gender in Antiquity (A),WI10,46,19,94.7 %,89.5 %,4.29,B+ (3.59),B (3.14)
"Shragge, Abraham Joseph",HIUS 116 - War and American Society (A),SP09,73,26,96.2 %,96.2 %,5.42,B+ (3.45),B (3.14)
"Kayali, Hasan",HINE 114 - History/Islamic Middle East (A),FA08,104,68,100.0 %,100.0 %,3.63,B+ (3.63),B (3.14)
"Cahill, Suzanne",HILD 10 - The Great Tradition (A),FA07,295,142,73.9 %,87.0 %,4.53,B+ (3.50),B (3.14)
